gps_lat,gps_long,lat,long,city,state,area,country,state_flag
32.18,-87.49,32.44958,-87.51417,Uniontown,Alabama,Perry County,US,Alabama
39.7,-114.12,39.40494,-114.77863,McGill,Nevada,White Pine County,US,Nevada
33.65,-117.16,33.70919,-117.19726000000001,Sun City,California,Riverside County,US,California
27.22,-112.12,27.34045,-112.26761,Santa Rosalia,Baja California Sur,,MX,None
34.36,-73.67,35.26768,-75.54236999999999,Buxton,North Carolina,Dare County,US,North Carolina
41.29,-91.5,41.28003,-91.36071,Columbus Junction,Iowa,Louisa County,US,Iowa
33.46,-84.32,33.46567,-84.33659,Bonanza,Georgia,Clayton County,US,Georgia
32.28,-107.42,32.2687,-107.75863999999999,Deming,New Mexico,Luna County,US,New Mexico
29.06,-84.93,29.72577,-84.98324000000001,Apalachicola,Florida,Franklin County,US,Florida
25.97,-73.19,24.05179,-74.53138,Cockburn Town,San Salvador,,BS,None
32.88,-80.25,32.76323,-80.2501,Ravenel,South Carolina,Charleston County,US,South Carolina
26.56,-102.3,27.04944,-101.79389,Lamadrid,Coahuila,Lamadrid,MX,None
38.71,-123.76,38.71519,-123.45445,Sea Ranch,California,Sonoma County,US,California
40.6,-98.45,40.58612,-98.38839,Hastings,Nebraska,Adams County,US,Nebraska
28.13,-96.51,28.44834,-96.40581,Port O'Connor,Texas,Calhoun County,US,Texas
48.4,-113.02,48.546079999999996,-113.01425,South Browning,Montana,Glacier County,US,Montana
39.6,-74.02,39.66206,-74.16514000000001,Surf City,New Jersey,Ocean County,US,New Jersey
28.69,-96.54,28.615,-96.62609,Port Lavaca,Texas,Calhoun County,US,Texas
43.73,-103.07,44.062490000000004,-103.14629000000001,Rapid Valley,South Dakota,Pennington County,US,South Dakota
39.35,-86.38,39.42783,-86.42833,Martinsville,Indiana,Morgan County,US,Indiana
30.44,-102.17,30.142409999999998,-102.39403,Sanderson,Texas,Terrell County,US,Texas
49.91,-119.79,49.76647,-119.73568,Peachland,British Columbia,,CA,None
44.43,-70.24,44.383959999999995,-70.24922,Livermore,Maine,Androscoggin County,US,Maine
42.23,-109.22,41.64358,-109.26568,North Rock Springs,Wyoming,Sweetwater County,US,Wyoming
36.85,-78.65,36.79931,-78.45833,Chase City,Virginia,Mecklenburg County,US,Virginia
46.26,-80.34,46.49,-80.99001,Greater Sudbury,Ontario,,CA,None
37.8,-85.03,37.82508,-84.87079,Jackson,Kentucky,Mercer County,US,Kentucky
26.67,-88.79,29.236620000000002,-89.98729,Grand Isle,Louisiana,Jefferson Parish,US,Louisiana
38.71,-79.66,38.925940000000004,-79.84673000000001,Elkins,West Virginia,Randolph County,US,West Virginia
46.06,-109.46,46.29718,-109.25878999999999,Ryegate,Montana,Golden Valley County,US,Montana
40.9,-92.0,41.00863,-91.96266999999999,Fairfield,Iowa,Jefferson County,US,Iowa
