gps_lat,gps_long,lat,long,city,state,area,country,state_flag
-37.14,114.28,-34.31566,115.15921999999999,Augusta,Western Australia,Augusta-Margaret River Shire,AU,Western Australia
-27.52,133.35,-29.01415,134.75495,Coober Pedy,South Australia,Coober Pedy,AU,South Australia
-29.29,136.43,-30.56305,136.89546,Roxby Downs,South Australia,Roxby Downs,AU,South Australia
-41.22,153.97,-41.32028,148.23889,St Helens,Tasmania,Break O'Day,AU,Tasmania
-24.57,137.82,-28.16048,138.6754,The Sill,South Australia,,AU,South Australia
-15.75,119.78,-17.955379999999998,122.23921999999999,Broome,Western Australia,Broome,AU,Western Australia
-17.83,119.85,-17.955379999999998,122.23921999999999,Broome,Western Australia,Broome,AU,Western Australia
-42.74,141.88,-39.929759999999995,143.85385,Currie,Tasmania,King Island,AU,Tasmania
-42.05,136.29,-37.59389,140.34947,Millicent,South Australia,Wattle Range,AU,South Australia
-15.69,150.68,-20.01367,148.24754,Bowen,Queensland,Whitsunday,AU,Queensland
-39.02,122.52,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-9.62,124.26,-9.6553,124.2654,Tutem,East Nusa Tenggara,,ID,None
-21.68,143.29,-20.843989999999998,144.20035,Hughenden,Queensland,Flinders,AU,Queensland
-11.59,131.03,-12.36667,130.9,Leanyer,Northern Territory,Darwin,AU,Northern Territory
-29.79,127.81,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-22.13,131.86,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-33.83,149.73,-33.70398,149.85915,Oberon,New South Wales,Oberon,AU,New South Wales
-10.54,126.29,-9.31286,125.25648000000001,Suai,Cova Lima,,TL,None
-15.75,137.13,-13.85413,136.42129,Alyangula,Northern Territory,,AU,Northern Territory
-29.35,134.52,-29.01415,134.75495,Coober Pedy,South Australia,Coober Pedy,AU,South Australia
-30.44,145.58,-30.09011,145.93646,Bourke,New South Wales,Bourke,AU,New South Wales
-22.87,114.06,-24.88073,113.6594,Carnarvon,Western Australia,Carnarvon,AU,Western Australia
-31.24,127.13,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-36.68,114.44,-34.31566,115.15921999999999,Augusta,Western Australia,Augusta-Margaret River Shire,AU,Western Australia
-9.32,140.26,-8.71065,141.63668,Morehead,Western Province,,PG,None
-15.83,115.33,-20.66275,116.71256000000001,Dampier,Western Australia,Roebourne,AU,Western Australia
-26.67,141.07,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-15.91,146.05,-16.483829999999998,145.46725,Port Douglas,Queensland,Cairns,AU,Queensland
-37.73,127.68,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-11.4,145.14,-9.44314,147.17972,Port Moresby,National Capital,,PG,None
-34.2,145.85,-34.28853,146.05093,Griffith,New South Wales,Griffith,AU,New South Wales
-25.5,114.71,-24.88073,113.6594,Carnarvon,Western Australia,Carnarvon,AU,Western Australia
-14.05,152.29,-10.61667,150.66666999999998,Samarai,Milne Bay,,PG,None
-38.84,145.84,-38.6,145.6,North Wonthaggi,Victoria,Bass Coast,AU,Victoria
-28.41,141.89,-27.707279999999997,140.73696999999999,Innamincka,South Australia,,AU,South Australia
-13.87,124.91,-10.7972,123.225,Folaoen Satu,East Nusa Tenggara,,ID,None
-13.76,129.88,-12.45527,130.83172,Larrakeyah,Northern Territory,Darwin,AU,Northern Territory
-16.07,143.02,-15.470279999999999,145.24986,Cooktown,Queensland,Cook,AU,Queensland
-17.7,123.39,-17.30295,123.62863999999999,Derby,Western Australia,Derby-West Kimberley,AU,Western Australia
-23.17,132.09,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-40.06,133.32,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-12.64,115.14,-8.8323,115.1247,Pecatu,Bali,,ID,None
-13.87,135.15,-13.85413,136.42129,Alyangula,Northern Territory,,AU,Northern Territory
-30.2,135.47,-29.01415,134.75495,Coober Pedy,South Australia,Coober Pedy,AU,South Australia
-12.52,131.09,-12.55397,131.11165,McMinns Lagoon,Northern Territory,Litchfield,AU,Northern Territory
-17.83,132.41,-19.6497,134.19146999999998,Tennant Creek,Northern Territory,Barkly,AU,Northern Territory
-17.53,127.31,-18.22485,127.66646999999999,Halls Creek,Western Australia,Halls Creek,AU,Western Australia
-12.73,136.99,-12.18652,136.78201,Nhulunbuy,Northern Territory,East Arnhem,AU,Northern Territory
-14.61,137.68,-13.85413,136.42129,Alyangula,Northern Territory,,AU,Northern Territory
-25.81,138.37,-28.16048,138.6754,The Sill,South Australia,,AU,South Australia
-16.09,115.56,-20.66275,116.71256000000001,Dampier,Western Australia,Roebourne,AU,Western Australia
-16.68,122.86,-17.30295,123.62863999999999,Derby,Western Australia,Derby-West Kimberley,AU,Western Australia
-12.9,113.22,-8.5898,114.1189,Sidorukun,East Java,,ID,None
-25.2,134.59,-23.69748,133.88362,Alice Springs,Northern Territory,Alice Springs,AU,Northern Territory
-39.68,115.06,-34.96067,117.35321,Denmark,Western Australia,Denmark,AU,Western Australia
-13.05,125.1,-10.7972,123.225,Folaoen Satu,East Nusa Tenggara,,ID,None
-13.63,142.23,-12.623460000000001,141.87883,Weipa,Queensland,Cook,AU,Queensland
-38.38,121.15,-33.86013,121.88259,Esperance,Western Australia,Esperance Shire,AU,Western Australia
-31.2,128.7,-32.1266,133.67271000000002,Ceduna,South Australia,Ceduna,AU,South Australia
-9.09,148.29,-8.765360000000001,148.23252,Popondetta,Northern Province,Sohe,PG,None
-34.22,141.89,-34.09468,142.03966,Dareton,New South Wales,Wentworth,AU,New South Wales
-33.96,138.91,-33.83325,138.61064,Clare,South Australia,Clare and Gilbert Valleys,AU,South Australia
-37.4,113.0,-34.31566,115.15921999999999,Augusta,Western Australia,Augusta-Margaret River Shire,AU,Western Australia
-12.57,142.04,-12.623460000000001,141.87883,Weipa,Queensland,Cook,AU,Queensland
-12.58,123.09,-10.934000000000001,122.8482,Oemau,East Nusa Tenggara,,ID,None
-27.38,113.49,-27.7105,114.16505,Kalbarri,Western Australia,Northampton Shire,AU,Western Australia
-32.56,133.56,-32.1266,133.67271000000002,Ceduna,South Australia,Ceduna,AU,South Australia
-34.17,140.98,-34.17702,140.74697,Renmark,South Australia,Renmark Paringa,AU,South Australia
-21.6,150.32,-21.4191,149.21677,Sarina,Queensland,Mackay,AU,Queensland
-30.38,123.12,-30.866670000000003,121.76666999999999,Stoneville,Western Australia,Kalgoorlie/Boulder,AU,Western Australia
-12.09,149.69,-10.61667,150.66666999999998,Samarai,Milne Bay,,PG,None
-17.09,141.65,-16.995,145.42323000000002,Mareeba,Queensland,Tablelands,AU,Queensland
-21.92,138.84,-20.72523,139.49727,Mount Isa,Queensland,Mount Isa,AU,Queensland
-20.82,137.04,-20.72523,139.49727,Mount Isa,Queensland,Mount Isa,AU,Queensland
-38.24,134.69,-34.72625,135.87442,Port Lincoln,South Australia,Port Lincoln,AU,South Australia
-15.77,119.18,-17.955379999999998,122.23921999999999,Broome,Western Australia,Broome,AU,Western Australia
-37.93,128.45,-32.79554,134.20928,Streaky Bay,South Australia,Streaky Bay,AU,South Australia
-25.11,153.12,-25.29214,152.90535,Urangan,Queensland,Fraser Coast,AU,Queensland
-18.32,147.74,-19.15514,146.8485,Magnetic Island,Queensland,Townsville,AU,Queensland
-31.33,153.0,-31.40237,152.90185,North Shore,New South Wales,Port Macquarie-Hastings,AU,New South Wales
-31.6,146.42,-31.49873,145.84183000000002,Cobar,New South Wales,Cobar,AU,New South Wales
